SITE_CODE,MSMT_DATE,RPE,GSE,RDNG_WS,RDNG_RP,WLM_QA_DESC,WLM_ORG_NAME,MSMT_CMT
332323N1174051W001,8/17/1951 0:00,8.22,8.22,0,6.64,,Department of Water Resources,
332323N1174051W001,9/11/1951 0:00,8.22,8.22,0,5.49,,Department of Water Resources,
332323N1174051W001,10/2/1951 0:00,8.22,8.22,0,5.34,,Department of Water Resources,
332323N1174051W001,10/3/1951 0:00,8.22,8.22,0,5.23,,Department of Water Resources,
332323N1174051W001,10/10/1951 0:00,8.22,8.22,0,5.92,,Department of Water Resources,
332323N1174051W001,10/15/1951 0:00,8.22,8.22,0,5.06,,Department of Water Resources,
332323N1174051W001,10/23/1951 0:00,8.22,8.22,0,5.62,,Department of Water Resources,
332323N1174051W001,10/29/1951 0:00,8.22,8.22,0,4.77,,Department of Water Resources,
332323N1174051W001,11/5/1951 0:00,8.22,8.22,0,4.73,,Department of Water Resources,
332323N1174051W001,11/19/1951 0:00,8.22,8.22,0,4.85,,Department of Water Resources,
332323N1174051W001,11/26/1951 0:00,8.22,8.22,0,5.34,,Department of Water Resources,
332323N1174051W001,12/3/1951 0:00,8.22,8.22,0,4.75,,Department of Water Resources,
332323N1174051W001,12/10/1951 0:00,8.22,8.22,0,5.37,,Department of Water Resources,
332323N1174051W001,12/17/1951 0:00,8.22,8.22,0,4.87,,Department of Water Resources,
332323N1174051W001,12/21/1951 0:00,8.22,8.22,0,4.77,,Department of Water Resources,
332323N1174051W001,12/28/1951 0:00,8.22,8.22,0,4.13,,Department of Water Resources,
332323N1174051W001,1/3/1952 0:00,8.22,8.22,0,4.87,,Department of Water Resources,
332323N1174051W001,1/7/1952 0:00,8.22,8.22,0,5.18,,Department of Water Resources,
332323N1174051W001,3/27/1952 0:00,8.22,8.22,0,1.96,,Department of Water Resources,
332323N1174051W001,4/22/1952 0:00,8.22,8.22,0,2.23,,Department of Water Resources,
332323N1174051W001,5/19/1952 0:00,8.22,8.22,0,2.4,,Department of Water Resources,
332323N1174051W001,6/16/1952 0:00,8.22,8.22,0,3.11,,Department of Water Resources,
332323N1174051W001,7/14/1952 0:00,8.22,8.22,0,3.08,,Department of Water Resources,
332323N1174051W001,8/19/1952 0:00,8.22,8.22,0,3.46,,Department of Water Resources,
332323N1174051W001,10/14/1952 0:00,8.22,8.22,0,3.89,,Department of Water Resources,
332323N1174051W001,11/18/1952 0:00,8.22,8.22,0,3.27,,Department of Water Resources,
332323N1174051W001,12/22/1952 0:00,8.22,8.22,0,2.88,,Department of Water Resources,
332323N1174051W001,1/20/1953 0:00,8.22,8.22,0,4.22,,Department of Water Resources,
332323N1174051W001,2/17/1953 0:00,8.22,8.22,0,2.68,,Department of Water Resources,
332323N1174051W001,3/23/1953 0:00,8.22,8.22,0,2.35,,Department of Water Resources,
332323N1174051W001,4/26/1953 0:00,8.22,8.22,0,2.74,,Department of Water Resources,
332323N1174051W001,6/29/1953 0:00,8.22,8.22,0,2.74,,Department of Water Resources,
332323N1174051W001,10/26/1953 0:00,8.22,8.22,0,3.58,,Department of Water Resources,
332323N1174051W001,4/5/1954 0:00,8.22,8.22,0,1.82,,Department of Water Resources,
332323N1174051W001,10/13/1954 0:00,8.22,8.22,0,3.37,,Department of Water Resources,
332323N1174051W001,4/19/1955 0:00,8.22,8.22,0,3.14,,Department of Water Resources,
332323N1174051W001,10/24/1955 0:00,8.22,8.22,0,3.7,,Department of Water Resources,
332323N1174051W001,4/26/1956 0:00,8.22,8.22,0,2.39,,Department of Water Resources,
332323N1174051W001,10/23/1956 0:00,8.22,8.22,0,3.13,,Department of Water Resources,
332323N1174051W001,4/23/1957 0:00,8.22,8.22,0,2.28,,Department of Water Resources,
332323N1174051W001,10/30/1957 0:00,8.22,8.22,0,2.42,,Department of Water Resources,
332323N1174051W001,11/1/1957 0:00,8.22,8.22,0,2.42,,Department of Water Resources,
332323N1174051W001,4/23/1958 0:00,8.22,8.22,0,1.93,,Department of Water Resources,
332323N1174051W001,10/29/1958 0:00,8.22,8.22,0,2.46,,Department of Water Resources,
332323N1174051W001,4/28/1959 0:00,8.22,8.22,0,2.3,,Department of Water Resources,
332323N1174051W001,11/10/1959 0:00,8.22,8.22,0,3.41,,Department of Water Resources,
332323N1174051W001,4/19/1960 0:00,8.22,8.22,0,2.63,,Department of Water Resources,
332323N1174051W001,11/10/1960 0:00,8.22,8.22,0,3.14,,Department of Water Resources,
332323N1174051W001,4/17/1961 0:00,8.22,8.22,0,2.85,,Department of Water Resources,
332323N1174051W001,10/30/1961 0:00,8.22,8.22,0,3.13,,Department of Water Resources,
332323N1174051W001,4/25/1962 0:00,8.22,8.22,0,2.13,,Department of Water Resources,
332323N1174051W001,11/7/1962 0:00,8.22,8.22,0,2.5,,Department of Water Resources,
332323N1174051W001,12/18/1962 0:00,8.22,8.22,0,5.5,,Department of Water Resources,
332323N1174051W001,4/15/1963 0:00,8.22,8.22,0,2.07,,Department of Water Resources,
332323N1174051W001,11/8/1963 0:00,8.22,8.22,0,1.97,,Department of Water Resources,
332323N1174051W001,4/22/1964 0:00,8.22,8.22,0,2,,Department of Water Resources,
332323N1174051W001,11/24/1964 0:00,8.22,8.22,0,1.85,,Department of Water Resources,
332323N1174051W001,4/28/1965 0:00,8.22,8.22,0,1.3,,Department of Water Resources,
332323N1174051W001,11/10/1965 0:00,8.22,8.22,0,1.75,,Department of Water Resources,
332323N1174051W001,4/28/1966 0:00,8.22,8.22,0,1.72,,Department of Water Resources,
332323N1174051W001,10/1/1966 0:00,8.22,8.22,,1.93,QM:Other,Department of Water Resources,
332323N1174051W001,8/3/1967 0:00,8.22,8.22,,1.85,QM:Other,Department of Water Resources,
332323N1174051W001,7/12/1968 0:00,8.22,8.22,,1.43,QM:Other,Department of Water Resources,
332323N1174051W001,10/29/1968 0:00,8.22,8.22,,1.5,QM:Other,Department of Water Resources,
332323N1174051W001,5/21/1970 0:00,8.22,8.22,,2.27,QM:Other,Department of Water Resources,
332323N1174051W001,11/12/1970 0:00,8.22,8.22,,2.08,QM:Other,Department of Water Resources,
332323N1174051W001,7/1/1971 0:00,8.22,8.22,,1.64,QM:Other,Department of Water Resources,
332323N1174051W001,4/1/1972 0:00,8.22,8.22,0,2,,Department of Water Resources,
332323N1174051W001,4/4/1972 0:00,8.22,8.22,0,1.59,,Department of Water Resources,
332323N1174051W002,10/3/1951 0:00,8.22,8.22,0,6.07,,Department of Water Resources,
332323N1174051W002,10/10/1951 0:00,8.22,8.22,0,6.14,,Department of Water Resources,
332323N1174051W002,10/15/1951 0:00,8.22,8.22,0,6.16,,Department of Water Resources,
332323N1174051W002,10/23/1951 0:00,8.22,8.22,0,6.18,,Department of Water Resources,
332323N1174051W002,10/29/1951 0:00,8.22,8.22,0,6.05,,Department of Water Resources,
332323N1174051W002,11/5/1951 0:00,8.22,8.22,0,5.94,,Department of Water Resources,
332323N1174051W002,11/12/1951 0:00,8.22,8.22,0,5.94,,Department of Water Resources,
332323N1174051W002,11/19/1951 0:00,8.22,8.22,0,5.93,,Department of Water Resources,
332323N1174051W002,11/26/1951 0:00,8.22,8.22,0,5.77,,Department of Water Resources,
332323N1174051W002,12/3/1951 0:00,8.22,8.22,0,5.78,,Department of Water Resources,
332323N1174051W002,12/10/1951 0:00,8.22,8.22,0,5.58,,Department of Water Resources,
332323N1174051W002,12/18/1951 0:00,8.22,8.22,0,5.39,,Department of Water Resources,
332323N1174051W002,12/28/1951 0:00,8.22,8.22,0,5.28,,Department of Water Resources,
332323N1174051W002,1/3/1952 0:00,8.22,8.22,0,4.71,,Department of Water Resources,
332323N1174051W002,1/7/1952 0:00,8.22,8.22,0,4.62,,Department of Water Resources,
332323N1174051W002,3/27/1952 0:00,8.22,8.22,0,2.61,,Department of Water Resources,
332323N1174051W002,4/22/1952 0:00,8.22,8.22,0,3.24,,Department of Water Resources,
332323N1174051W002,5/19/1952 0:00,8.22,8.22,0,3.82,,Department of Water Resources,
332323N1174051W002,6/16/1952 0:00,8.22,8.22,0,4.37,,Department of Water Resources,
332323N1174051W002,7/14/1952 0:00,8.22,8.22,0,4.73,,Department of Water Resources,
332323N1174051W002,8/19/1952 0:00,8.22,8.22,0,5.08,,Department of Water Resources,
332323N1174051W002,10/14/1952 0:00,8.22,8.22,0,5.32,,Department of Water Resources,
332323N1174051W002,11/18/1952 0:00,8.22,8.22,0,4.77,,Department of Water Resources,
332323N1174051W002,12/22/1952 0:00,8.22,8.22,0,4.04,,Department of Water Resources,
332323N1174051W002,1/20/1953 0:00,8.22,8.22,0,3.38,,Department of Water Resources,
332323N1174051W002,2/17/1953 0:00,8.22,8.22,0,3.78,,Department of Water Resources,
332323N1174051W002,3/23/1953 0:00,8.22,8.22,0,4.03,,Department of Water Resources,
332323N1174051W002,4/26/1953 0:00,8.22,8.22,0,4.64,,Department of Water Resources,
332323N1174051W002,6/29/1953 0:00,8.22,8.22,0,4.96,,Department of Water Resources,
332323N1174051W002,10/26/1953 0:00,8.22,8.22,0,5.63,,Department of Water Resources,
332323N1174051W002,4/5/1954 0:00,8.22,8.22,0,3.42,,Department of Water Resources,
332323N1174051W002,10/13/1954 0:00,8.22,8.22,0,5.56,,Department of Water Resources,
332323N1174051W002,4/19/1955 0:00,8.22,8.22,0,4.35,,Department of Water Resources,
332323N1174051W002,10/24/1955 0:00,8.22,8.22,0,5.52,,Department of Water Resources,
332323N1174051W002,4/26/1956 0:00,8.22,8.22,0,4.05,,Department of Water Resources,
332323N1174051W002,10/23/1956 0:00,8.22,8.22,0,5.48,,Department of Water Resources,
332323N1174051W002,4/23/1957 0:00,8.22,8.22,0,3.28,,Department of Water Resources,
332323N1174051W002,10/30/1957 0:00,8.22,8.22,0,4.65,,Department of Water Resources,
332323N1174051W002,4/23/1958 0:00,8.22,8.22,0,2.29,,Department of Water Resources,
332323N1174051W002,10/29/1958 0:00,8.22,8.22,0,5.09,,Department of Water Resources,
332323N1174051W002,4/28/1959 0:00,8.22,8.22,0,3.93,,Department of Water Resources,
332323N1174051W002,11/10/1959 0:00,8.22,8.22,0,4.92,,Department of Water Resources,
332323N1174051W002,4/17/1961 0:00,8.22,8.22,0,3.82,,Department of Water Resources,
332323N1174051W002,10/30/1961 0:00,8.22,8.22,0,4.66,,Department of Water Resources,
332323N1174051W002,4/25/1962 0:00,8.22,8.22,0,2.31,,Department of Water Resources,
332323N1174051W002,11/7/1962 0:00,8.22,8.22,0,4.04,,Department of Water Resources,
332323N1174051W002,4/15/1963 0:00,8.22,8.22,0,2.85,,Department of Water Resources,
332323N1174051W002,11/8/1963 0:00,8.22,8.22,0,2.73,,Department of Water Resources,
332323N1174051W002,4/22/1964 0:00,8.22,8.22,0,3.24,,Department of Water Resources,
332323N1174051W002,11/24/1964 0:00,8.22,8.22,0,7.09,,Department of Water Resources,
332323N1174051W002,11/10/1965 0:00,8.22,8.22,0,4.48,,Department of Water Resources,
