SITE_CODE,SWN,WELL_NAME,LATITUDE,LONGITUDE,BASIN_CODE,BASIN_NAME,WELL_DEPTH,WELL_USE
332323N1174051W001,11S05W09J001S,,33.2323,-117.4051,9-004,Santa Margarita Valley,,Unknown
332323N1174051W002,11S05W09J002S,,33.2323,-117.4051,9-004,Santa Margarita Valley,,Unknown
332367N1173973W001,11S05W10E001S,,33.2367,-117.3973,9-004,Santa Margarita Valley,,Unknown
332370N1173912W001,11S05W10G002S,,33.2370,-117.3912,9-004,Santa Margarita Valley,,Unknown
332370N1173946W001,11S05W10F001S,,33.2370,-117.3946,9-004,Santa Margarita Valley,,Unknown
332373N1173882W001,11S05W10G001S,,33.2373,-117.3882,9-004,Santa Margarita Valley,,Unknown
332375N1173890W001,11S05W10B001S,,33.2375,-117.3890,9-004,Santa Margarita Valley,,Unknown
332387N1173846W001,11S05W10A001S,,33.2387,-117.3846,9-004,Santa Margarita Valley,,Unknown
332391N1173818W001,,11D4,33.239130,-117.381750,9-004,Santa Margarita Valley,109,Observation
332434N1173829W001,11S05W02N002S,,33.2434,-117.3829,9-004,Santa Margarita Valley,,Unknown
332437N1173823W001,11S05W02N004S,,33.2437,-117.3823,9-004,Santa Margarita Valley,,Unknown
332437N1173832W001,11S05W02N005S,,33.2437,-117.3832,9-004,Santa Margarita Valley,,Unknown
332453N1173829W001,11S05W02N003S,,33.2453,-117.3829,9-004,Santa Margarita Valley,,Unknown
332470N1173726W001,11S05W02K002S,,33.2470,-117.3726,9-004,Santa Margarita Valley,,Unknown
332478N1173809W001,11S05W02M001S,,33.2478,-117.3809,9-004,Santa Margarita Valley,,Unknown
332487N1173754W001,11S05W02K001S,,33.2487,-117.3754,9-004,Santa Margarita Valley,,Unknown
332492N1173765W001,11S05W02F001S,,33.2492,-117.3765,9-004,Santa Margarita Valley,,Unknown
332492N1173765W002,11S05W02F003S,,33.2492,-117.3765,9-004,Santa Margarita Valley,,Unknown
332492N1173782W001,11S05W02E003S,,33.2492,-117.3782,9-004,Santa Margarita Valley,,Unknown
332512N1173668W001,11S05W01E001S,,33.2512,-117.3668,9-004,Santa Margarita Valley,,Unknown
332512N1173807W001,11S05W02E001S,,33.2512,-117.3807,9-004,Santa Margarita Valley,,Unknown
332512N1173807W002,11S05W02E004S,,33.2512,-117.3807,9-004,Santa Margarita Valley,,Unknown
